antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'time=evening', 'is_weekend=False'})","frozenset({'temp=hot', 'duration=long'})",0.12103399174851218,0.12647413195078316,0.052283763554711746,0.43197586726998494,3.4155274332152477,1.0,0.03697609451178042,1.5378323168258916,0.8046038680548755,0.26781372732373293,0.34973404508495787,0.4226853932192881
"frozenset({'temp=hot', 'duration=long'})","frozenset({'time=evening', 'is_weekend=False'})",0.12647413195078316,0.12103399174851218,0.052283763554711746,0.4133949191685912,3.415527433215247,1.0,0.03697609451178042,1.4983948093421033,0.8096147761568683,0.26781372732373293,0.33261915099728107,0.4226853932192881
"frozenset({'time=evening', 'is_weekend=False'})","frozenset({'duration=long', 'wind=high'})",0.12103399174851218,0.16586950965716163,0.06728978787104312,0.5559577677224736,3.3517779661348954,1.0,0.04721393900786845,1.878493597477248,0.798268505712018,0.3064006650041563,0.46765855292615033,0.48081841720924473
"frozenset({'duration=long', 'wind=high'})","frozenset({'time=evening', 'is_weekend=False'})",0.16586950965716163,0.12103399174851218,0.06728978787104312,0.40567906669601583,3.3517779661348954,1.0,0.04721393900786845,1.478941694624633,0.8411763987792665,0.3064006650041563,0.32384082237007467,0.48081841720924473
"frozenset({'temp=hot', 'duration=long'})","frozenset({'time=evening', 'wind=high'})",0.12647413195078316,0.12881083646719485,0.05385373690167586,0.4258083140877598,3.3056870506093126,1.0,0.03756249817363311,1.5172444758560266,0.7984778137895614,0.2673554468007976,0.34091043604834886,0.4219461071572586
"frozenset({'time=evening', 'wind=high'})","frozenset({'temp=hot', 'duration=long'})",0.12881083646719485,0.12647413195078316,0.05385373690167586,0.4180839002267574,3.3056870506093126,1.0,0.03756249817363311,1.5011199524976313,0.8006194918450716,0.2673554468007976,0.3338307186336743,0.4219461071572586
"frozenset({'temp=hot', 'time=night'})","frozenset({'site=caltech', 'is_weekend=False', 'wind=high'})",0.07492058855745007,0.20730950381540034,0.050604257183540835,0.6754385964912281,3.2581168931486872,1.0,0.0350725071441381,2.4423436909471445,0.7492051304262695,0.21847414880201765,0.5905572161253855,0.4597693158574492
"frozenset({'site=caltech', 'is_weekend=False', 'wind=high'})","frozenset({'temp=hot', 'time=night'})",0.20730950381540034,0.07492058855745007,0.050604257183540835,0.2441000352236703,3.2581168931486872,1.0,0.0350725071441381,1.2238119520435224,0.8743314628349864,0.21847414880201765,0.18288099872680688,0.4597693158574492
frozenset({'time=night'}),"frozenset({'util=high', 'site=caltech', 'is_weekend=False', 'wind=high'})",0.1443280148964913,0.1293950125962978,0.060790828434773084,0.42119908929926636,3.2551416074541777,1.0,0.042115503129242934,1.504152760142847,0.8096486911899097,0.28549382716049376,0.33517390886213494,0.4455036078550508
"frozenset({'util=high', 'site=caltech', 'is_weekend=False', 'wind=high'})",frozenset({'time=night'}),0.1293950125962978,0.1443280148964913,0.060790828434773084,0.4698081264108352,3.2551416074541777,1.0,0.042115503129242934,1.6138911736066177,0.795761238277489,0.28549382716049376,0.3803795346589164,0.4455036078550508
frozenset({'time=evening'}),"frozenset({'is_weekend=False', 'temp=hot', 'duration=long'})",0.15239694767972545,0.10694074263390413,0.052283763554711746,0.3430761859127935,3.2080961611353707,1.0,0.035986320794701675,1.35945636041068,0.8120412539089902,0.252512784341386,0.26441184202639006,0.4159901243664343
"frozenset({'is_weekend=False', 'temp=hot', 'duration=long'})",frozenset({'time=evening'}),0.10694074263390413,0.15239694767972545,0.052283763554711746,0.4889040628200751,3.20809616113537,1.0,0.035986320794701675,1.658403032896516,0.7707088188674247,0.252512784341386,0.39701026821361346,0.4159901243664343
"frozenset({'temp=hot', 'duration=long'})",frozenset({'time=evening'}),0.12647413195078316,0.15239694767972545,0.061813136660703205,0.4887413394919169,3.2070284013761645,1.0,0.04253886499096101,1.6578751966332193,0.7878242514354701,0.2847771236333053,0.39681828763058846,0.4471737363487376
