,session_duration_min,session_duration_min,session_duration_min,kWhDelivered,kWhDelivered,kWhDelivered,charging_rate_kW,charging_rate_kW,charging_rate_kW,connection_hour,connection_hour,connection_hour,is_weekend,is_weekend,is_weekend,utilization_ratio,utilization_ratio,utilization_ratio
,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count
cluster,,,,,,,,,,,,,,,,,,
0,249.6771924126283,221.8,7697,9.107261668046945,8.645,7697,3.0972690560354668,2.8291314574440287,7697,17.805898401974794,17.0,7697,0.0,0.0,7697,0.886744570185122,0.9959192310017532,7697
1,744.9333333333333,744.9333333333333,1,2.008635005973646,2.008635005973646,1,1033.0122887864466,1033.0122887864466,1,19.0,19.0,1,0.0,0.0,1,0.00015661356720959372,0.00015661356720959372,1
2,195.09193509470384,139.38333333333333,2763,8.643317683213395,7.466,2763,4.494511346478163,4.73985760156359,2763,13.766920014477018,17.0,2763,1.0,1.0,2763,0.8027401733105,0.9905100830367733,2763
3,143.44996376811596,113.4,2760,7.743536266131199,6.4335,2760,4.576957407249,5.157137014119295,2760,1.8478260869565217,1.0,2760,0.0,0.0,2760,0.8774518661602257,0.9968669504375309,2760
4,540.2947249789194,555.175,10278,8.75925761489202,7.887,10278,2.956518825965669,2.6518211763254995,10278,14.272621132516054,14.0,10278,0.007394434714925083,0.0,10278,0.3643530888133628,0.3481190774773498,10278
5,551.1163193104336,558.0666666666667,2591,33.88622279482856,32.576,2591,5.04305019365891,5.217446069205154,2591,14.157082207641837,14.0,2591,0.037051331532226936,0.0,2591,0.8179980682926705,0.8753207547169811,2591
