,session_duration_min,session_duration_min,session_duration_min,kWhDelivered,kWhDelivered,kWhDelivered,charging_rate_kW,charging_rate_kW,charging_rate_kW,connection_hour,connection_hour,connection_hour,is_weekend,is_weekend,is_weekend,utilization_ratio,utilization_ratio,utilization_ratio
,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count
cluster,,,,,,,,,,,,,,,,,,
-1,880.196366782007,872.35,289,25.228322206233692,23.794,289,10.421732088437551,4.113143095188502,289,9.937716262975778,6.0,289,0.5536332179930796,1.0,289,0.5827379434314051,0.5710263384497628,289
0,392.24971481513654,442.0833333333333,23026,11.371622451403294,8.9575,23026,3.380753965079846,2.993011285196139,23026,14.018804829323374,15.0,23026,0.0,0.0,23026,0.6495896608575112,0.6624404206056373,23026
1,166.65538432267883,130.46666666666667,2628,8.484531859995235,7.126,2628,4.587736575671524,4.961958345998208,2628,14.20662100456621,17.0,2628,1.0,1.0,2628,0.8150232075214988,0.9925033884339007,2628
2,803.9279816513761,816.8833333333333,109,11.065610626089232,13.025,109,3.771890146567973,3.2993524015110633,109,3.9174311926605503,4.0,109,1.0,1.0,109,0.23712324624142017,0.20756802721088433,109
3,701.1995614035087,702.725,38,14.306226435263703,13.909,38,1.374840319356875,1.3256072038231421,38,4.026315789473684,4.5,38,1.0,1.0,38,0.9388206524761269,0.9937769385405104,38
