,session_duration_min,session_duration_min,session_duration_min,kWhDelivered,kWhDelivered,kWhDelivered,charging_rate_kW,charging_rate_kW,charging_rate_kW,connection_hour,connection_hour,connection_hour,is_weekend,is_weekend,is_weekend,utilization_ratio,utilization_ratio,utilization_ratio
,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count
cluster,,,,,,,,,,,,,,,,,,
0,550.0360560819217,552.2166666666667,3483,32.72455730392389,31.269,3483,5.026927922074209,5.244741235392321,3483,13.612690209589434,14.0,3483,0.040195233993683605,0.0,3483,0.8145508737845731,0.8850481591502386,3483
1,518.5247437290881,537.7833333333333,15641,8.430492249875803,7.413,15641,2.907723346663169,2.6858699883223047,15641,11.089764081580462,10.0,15641,0.0026213157726488077,0.0,15641,0.39714689445773943,0.35263776442935496,15641
2,197.00972373682296,139.40833333333333,3668,8.530863772955968,7.1754999999999995,3668,4.370425625687745,4.133780768260843,3668,13.246455834242093,13.0,3668,1.0,1.0,3668,0.790430438990902,0.9819279119609419,3668
3,744.9333333333333,744.9333333333333,1,2.008635005973646,2.008635005973646,1,1033.0122887864466,1033.0122887864466,1,12.0,12.0,1,0.0,0.0,1,0.00015661356720959372,0.00015661356720959372,1
4,176.35631755018014,151.48333333333335,11658,7.88858832112328,7.218500000000001,11658,3.630415989688714,3.2476369218454133,11658,14.895436610053183,15.0,11658,0.0,0.0,11658,0.8856850864557979,0.9973744664057504,11658
