antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'duration=short'}),"frozenset({'util=high', 'energy=low'})",0.06493829205665534,0.12200778596869047,0.05303846047654546,0.8167517006802721,6.69425884746295,1.0,0.04511548323812474,4.79127073643072,0.909692117588865,0.39608247422680415,0.791287102104993,0.6257327184098351
"frozenset({'util=high', 'energy=low'})",frozenset({'duration=short'}),0.12200778596869047,0.06493829205665534,0.05303846047654546,0.434713736139398,6.69425884746295,1.0,0.04511548323812474,1.6541383856691911,0.9688221052321412,0.39608247422680415,0.3954556591736161,0.6257327184098351
"frozenset({'is_weekend=False', 'time=afternoon', 'duration=very_long'})","frozenset({'site=jpl', 'util=low', 'temp=cold'})",0.1414727076948563,0.11215108092437671,0.0664292222314255,0.46955503512880564,4.186807931395916,1.0,0.05056290514214898,1.673781405939475,0.8865816645073279,0.35486725663716817,0.4025504187993349,0.530937044890843
"frozenset({'site=jpl', 'util=low', 'temp=cold'})","frozenset({'is_weekend=False', 'time=afternoon', 'duration=very_long'})",0.11215108092437671,0.1414727076948563,0.0664292222314255,0.5923190546528804,4.186807931395916,1.0,0.05056290514214898,2.1058803510528343,0.8573018894130473,0.35486725663716817,0.5251392133935576,0.530937044890843
"frozenset({'time=afternoon', 'duration=very_long'})","frozenset({'is_weekend=False', 'site=jpl', 'util=low', 'temp=cold'})",0.143847152047268,0.11082580965791436,0.0664292222314255,0.4618042226487525,4.166937503765611,1.0,0.050487245138801914,1.6521389200008083,0.8877101805131147,0.3528894103842769,0.39472402236035287,0.5306031576621939
"frozenset({'is_weekend=False', 'site=jpl', 'util=low', 'temp=cold'})","frozenset({'time=afternoon', 'duration=very_long'})",0.11082580965791436,0.143847152047268,0.0664292222314255,0.5994020926756353,4.166937503765611,1.0,0.050487245138801914,2.137187519702902,0.8547432071892928,0.3528894103842769,0.5320953398890268,0.5306031576621939
"frozenset({'time=afternoon', 'duration=very_long'})","frozenset({'site=jpl', 'util=low', 'temp=cold'})",0.143847152047268,0.11215108092437671,0.06665010077583589,0.4633397312859885,4.131388903852097,1.0,0.050517487185841606,1.654396590981401,0.8852982870007832,0.3519976669582969,0.39555001173763776,0.5288141295523985
"frozenset({'site=jpl', 'util=low', 'temp=cold'})","frozenset({'time=afternoon', 'duration=very_long'})",0.11215108092437671,0.143847152047268,0.06665010077583589,0.5942885278188085,4.131388903852097,1.0,0.050517487185841606,2.1102505269320373,0.8536932730543051,0.3519976669582969,0.5261226156622085,0.5288141295523985
"frozenset({'site=jpl', 'duration=very_long', 'temp=cold'})","frozenset({'is_weekend=False', 'time=afternoon', 'util=low'})",0.11957812198017614,0.13484635136254453,0.0664292222314255,0.5555299007157701,4.11972511753163,1.0,0.05030454877961346,1.946483351817569,0.8601164706147327,0.35335585254809815,0.4862529910331731,0.5240794466723814
"frozenset({'is_weekend=False', 'time=afternoon', 'util=low'})","frozenset({'site=jpl', 'duration=very_long', 'temp=cold'})",0.13484635136254453,0.11957812198017614,0.0664292222314255,0.4926289926289926,4.119725117531629,1.0,0.05030454877961346,1.7352624908187326,0.8752958038922162,0.35335585254809815,0.42371831046254027,0.5240794466723814
