,session_duration_min,session_duration_min,session_duration_min,kWhDelivered,kWhDelivered,kWhDelivered,charging_rate_kW,charging_rate_kW,charging_rate_kW,connection_hour,connection_hour,connection_hour,is_weekend,is_weekend,is_weekend,utilization_ratio,utilization_ratio,utilization_ratio
,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count
cluster,,,,,,,,,,,,,,,,,,
-1,884.9469166666667,882.7833333333333,400,27.113691985797477,25.548499999999997,400,9.203461642596917,5.5754874705734325,400,13.4475,15.0,400,0.5975,1.0,400,0.5499905302441477,0.5301735035686914,400
0,386.80611127536326,425.98333333333335,30441,10.75104199868179,8.284,30441,3.376135194603437,3.0389320086929525,30441,12.801287736933741,13.0,30441,0.0,0.0,30441,0.6303605465028386,0.6325617416745547,30441
1,187.42826869806095,137.54166666666669,3610,8.582104070788525,7.1025,3610,4.41033179872056,4.290902194745964,3610,13.31191135734072,13.0,3610,1.0,1.0,3610,0.7935372316200799,0.9849552331113984,3610
