policy,total_energy_requested_kwh,total_energy_delivered_kwh,satisfaction_ratio,peak_demand_kw,jain_fairness,num_sessions
Uncontrolled,603.8644,591.2098,0.9873562566283836,153.03120000000013,0.9997322360019097,30.8
FCFS,603.8644,588.6380666666666,0.984804472970378,115.04000000000005,0.9957878566269727,31.0
EDF,603.8644,590.0644,0.9861869233141156,118.15680000000009,0.9997322360019097,31.4
Round-Robin,603.8644,589.0426666666666,0.9851064678928718,106.99199999999999,0.9995064219425928,31.0
MPC Oracle,603.8644,590.8149333333331,0.986971528869463,53.36157021811458,0.9930241767788857,42.6
