date,policy,total_energy_requested_kwh,total_energy_delivered_kwh,satisfaction_ratio,peak_demand_kw,jain_fairness,num_sessions
2018-09-20,Uncontrolled,785.663,759.5189999999999,0.9667236461434481,165.78000000000011,0.9999669915123467,70
2018-09-20,FCFS,785.663,759.5189999999999,0.9667236461434481,130.88000000000005,0.9999669915123467,70
2018-09-20,EDF,785.663,759.5189999999999,0.9667236461434481,130.88000000000002,0.9999669915123467,70
2018-09-20,Round-Robin,785.663,752.745,0.9581016288154082,119.62800000000001,0.9965694710444137,70
2018-09-20,MPC Oracle,785.663,759.6729999999995,0.9669196589377373,52.60690265486757,0.9777717908616298,94
2018-09-21,Uncontrolled,867.7850836349866,848.5126920579336,0.9777912850307076,191.40000000000012,0.9968782848349905,71
2018-09-21,FCFS,867.7850836349866,833.8103587246003,0.9608489180661269,143.85600000000002,0.9817271257225689,71
2018-09-21,EDF,867.7850836349866,843.5813587246002,0.9721086184046843,143.85600000000002,0.9968782848349905,71
2018-09-21,Round-Robin,867.7850836349866,818.7723587246,0.9435197425783334,106.496,0.9839697691371458,71
2018-09-21,MPC Oracle,867.7850836349866,847.7420253912668,0.9769032003180289,62.101558376807525,0.9927923159698936,100
2018-09-22,Uncontrolled,573.531502986851,566.659502986851,0.9880180949708744,99.0,1.0,65
2018-09-22,FCFS,573.531502986851,566.659502986851,0.9880180949708744,99.0,1.0,65
2018-09-22,EDF,573.531502986851,566.659502986851,0.9880180949708744,99.0,1.0,65
2018-09-22,Round-Robin,573.531502986851,566.659502986851,0.9880180949708744,99.0,1.0,65
2018-09-22,MPC Oracle,573.531502986851,566.7855029868508,0.98823778647752,49.54643748682221,0.985601850436261,72
2018-09-23,Uncontrolled,495.35055733872116,473.57282944147204,0.9560357254582486,59.4,0.9944958418290764,44
2018-09-23,FCFS,495.35055733872116,472.1605415083779,0.9531846376535196,59.4,0.9942405337311035,44
2018-09-23,EDF,495.35055733872116,473.57282944147204,0.9560357254582486,59.4,0.9944958418290764,44
2018-09-23,Round-Robin,495.35055733872116,472.83527896357475,0.9545467789597127,62.78399999999999,0.9943274349108139,44
2018-09-23,MPC Oracle,495.35055733872116,473.6081871922747,0.9561071047073053,41.192293009634206,0.9722319652316552,53
2018-09-24,Uncontrolled,810.3919505256878,803.4308220908013,0.9914101708063969,216.90000000000012,0.9976913782847386,50
2018-09-24,FCFS,810.3919505256878,785.1739917443242,0.9688817753372241,138.65600000000006,0.9764152768107884,52
2018-09-24,EDF,810.3919505256878,790.4783116367969,0.9754271511754612,145.46400000000006,0.9976913768433692,52
2018-09-24,Round-Robin,810.3919505256878,779.0374535125441,0.9613094663726551,120.224,0.9927203960211743,52
2018-09-24,MPC Oracle,810.3919505256878,803.477617192354,0.9914679145950938,67.03105974847618,0.9846688655018411,79
