date,policy,total_energy_requested_kwh,total_energy_delivered_kwh,satisfaction_ratio,peak_demand_kw,jain_fairness,num_sessions
2019-04-03,Uncontrolled,1019.183,970.9529999999999,0.9526777821058631,244.51200000000017,0.9993997113027924,50
2019-04-03,FCFS,1019.183,960.5719999999999,0.9424921726520162,183.60800000000012,0.9993997113027924,51
2019-04-03,EDF,1019.183,968.1206666666666,0.9498987587770465,188.12800000000016,0.9993997113027924,51
2019-04-03,Round-Robin,1019.183,967.3926666666667,0.9491844611484559,172.224,0.9993997113027924,51
2019-04-03,MPC Oracle,1019.183,968.7919999999996,0.9505574563154994,83.64676190476416,0.9757270668036259,69
2019-04-04,Uncontrolled,962.833,957.7410000000002,0.9947114400939729,237.6000000000002,1.0,43
2019-04-04,FCFS,962.833,955.2633333333335,0.9921381312577919,188.1840000000001,0.9802781031253146,43
2019-04-04,EDF,962.833,957.0800000000002,0.9940249243638307,188.12800000000016,1.0,44
2019-04-04,Round-Robin,962.833,957.7406666666669,0.9947110938934031,168.064,0.9999999999418506,43
2019-04-04,MPC Oracle,962.833,957.8249999999998,0.9947986826375912,86.54604958677756,0.9954114539824357,65
2019-04-05,Uncontrolled,938.071,928.1199999999998,0.989392060942082,256.64400000000023,0.9992614687067564,55
2019-04-05,FCFS,938.071,928.1199999999998,0.989392060942082,177.0080000000001,0.9992614687067564,55
2019-04-05,EDF,938.071,925.886333333333,0.9870109334297009,188.12800000000016,0.9992614687067564,56
2019-04-05,Round-Robin,938.071,920.8449999999996,0.9816367844225006,168.272,0.9981323984683211,55
2019-04-05,MPC Oracle,938.071,928.2226666666661,0.989501505394225,83.91128455284574,0.9939823631083672,71
2019-04-06,Uncontrolled,64.56700000000001,64.56700000000001,1.0,13.2,1.0,5
2019-04-06,FCFS,64.56700000000001,64.56700000000001,1.0,13.2,1.0,5
2019-04-06,EDF,64.56700000000001,64.56700000000001,1.0,13.2,1.0,5
2019-04-06,Round-Robin,64.56700000000001,64.56700000000001,1.0,13.2,1.0,5
2019-04-06,MPC Oracle,64.56700000000001,64.567,0.9999999999999998,7.437729729729733,0.9999999999999998,6
2019-04-07,Uncontrolled,34.668,34.668,1.0,13.2,1.0,1
2019-04-07,FCFS,34.668,34.668,1.0,13.2,1.0,1
2019-04-07,EDF,34.668,34.668,1.0,13.2,1.0,1
2019-04-07,Round-Robin,34.668,34.668,1.0,13.2,1.0,1
2019-04-07,MPC Oracle,34.668,34.668,1.0,5.266025316455703,1.0,2
