algo,weather_aware,condition,date,satisfaction_ratio,peak_demand_kw,jain_fairness,avg_temp,avg_wind
PPO,False,Mild,2019-04-03,0.43979475063196033,59.28,0.6466325425153427,15.498343253968253,1.955094246031746
PPO,False,Cold,2019-04-04,0.44528421162686915,67.128,0.5981539971337261,14.870486111111113,1.7520138888888888
PPO,False,Cold,2019-04-05,0.4477138013362885,62.608,0.5902126311884529,14.854513888888889,1.5795138888888889
PPO,False,Mild,2019-04-06,0.18684467297535892,4.16,0.258117645163933,17.501041666666666,1.35125
PPO,False,Mild,2019-04-07,0.4869812699511559,4.784,1.0,18.240624999999998,1.2184027777777777
PPO,False,Mild,2019-04-08,0.41269137771796993,66.976,0.5353614550468163,22.04930555555556,1.1739583333333334
PPO,False,Mild,2019-04-09,0.46699105642747424,66.144,0.7071860166682372,21.19597222222222,2.4575
PPO,False,Windy,2019-04-10,0.35966858963831805,55.896,0.6352922864495277,19.030416666666664,5.677916666666667
PPO,False,Mild,2019-04-11,0.4283923591579182,71.552,0.6278334525964078,19.301597222222224,3.249166666666666
PPO,False,Mild,2019-04-12,0.415172969106694,24.544,0.46587669079543115,18.680694444444445,4.1028472222222225
PPO,False,Mild,2019-04-13,0.5010226716215828,5.616,1.0,18.829791666666665,1.6211805555555554
PPO,False,Mild,2019-04-14,0.8712679111720049,3.328,1.0,18.352083333333333,1.567013888888889
PPO,False,Mild,2019-04-15,0.4154755726219775,66.808,0.6289058898419795,15.64965277777778,1.8228472222222223
PPO,False,Cold,2019-04-16,0.4259349747565951,69.888,0.6127082735941213,14.566468253968253,2.2201091269841267
PPO,False,Mild,2019-04-17,0.3836890729531696,50.752,0.5705606743056294,16.06423611111111,1.5895833333333336
PPO,False,Mild,2019-04-18,0.40932883950378873,60.32,0.6120481835917213,19.85763888888889,1.55
PPO,False,Mild,2019-04-19,0.44835681156716206,64.896,0.5472712323345016,19.453333333333333,1.720486111111111
PPO,False,Cold,2019-04-20,0.8413579729578723,9.512,0.8918839386301002,14.977738095238095,1.9425
PPO,False,Mild,2019-04-21,0.4554873194586604,5.824,0.990591895976275,15.329305555555555,1.8925694444444445
PPO,False,Mild,2019-04-22,0.4339238316438578,67.336,0.6258348411108761,16.319791666666664,1.7486805555555556
PPO,True,Mild,2019-04-03,0.5438208839825627,75.488,0.6713722513990995,15.498343253968253,1.955094246031746
PPO,True,Cold,2019-04-04,0.49858559757161075,80.064,0.6298760121999597,14.870486111111113,1.7520138888888888
PPO,True,Cold,2019-04-05,0.5089469062931625,79.08,0.6957056445585433,14.854513888888889,1.5795138888888889
PPO,True,Mild,2019-04-06,0.45108182198336605,6.6,0.4027679070871531,17.501041666666666,1.35125
PPO,True,Mild,2019-04-07,0.47748163532171867,4.992,1.0,18.240624999999998,1.2184027777777777
PPO,True,Mild,2019-04-08,0.5364346887115655,86.984,0.6973233139163474,22.04930555555556,1.1739583333333334
PPO,True,Mild,2019-04-09,0.625615156287441,93.59200000000003,0.7204483980278462,21.19597222222222,2.4575
PPO,True,Windy,2019-04-10,0.4570141627784234,82.768,0.5518281498542283,19.030416666666664,5.677916666666667
PPO,True,Mild,2019-04-11,0.6299102260115106,81.424,0.7478641347694783,19.301597222222224,3.249166666666666
PPO,True,Mild,2019-04-12,0.3591315781583941,21.424,0.5089225269340216,18.680694444444445,4.1028472222222225
PPO,True,Mild,2019-04-13,0.2673350041771095,2.704,1.0,18.829791666666665,1.6211805555555554
PPO,True,Mild,2019-04-14,0.9350916252783011,5.408,1.0,18.352083333333333,1.567013888888889
PPO,True,Mild,2019-04-15,0.5684949389779885,83.37200000000001,0.7226646138240745,15.64965277777778,1.8228472222222223
PPO,True,Cold,2019-04-16,0.48763267198813476,85.472,0.6871091495779701,14.566468253968253,2.2201091269841267
PPO,True,Mild,2019-04-17,0.5779166803982526,75.496,0.7744439353446773,16.06423611111111,1.5895833333333336
PPO,True,Mild,2019-04-18,0.6232476581511954,95.344,0.8222632372390597,19.85763888888889,1.55
PPO,True,Mild,2019-04-19,0.49436136554982396,82.92,0.6264679164842994,19.453333333333333,1.720486111111111
PPO,True,Cold,2019-04-20,0.2784598837858978,3.536,0.6540785029748819,14.977738095238095,1.9425
PPO,True,Mild,2019-04-21,0.24719663368588649,3.744,0.5,15.329305555555555,1.8925694444444445
PPO,True,Mild,2019-04-22,0.5690013889048585,89.688,0.7407240244201665,16.319791666666664,1.7486805555555556
SAC,False,Mild,2019-04-03,0.7428162230597121,161.64000000000004,0.8696497833239158,15.498343253968253,1.955094246031746
SAC,False,Cold,2019-04-04,0.7978386006019043,147.35600000000002,0.8954901000575737,14.870486111111113,1.7520138888888888
SAC,False,Cold,2019-04-05,0.8368190325323634,159.464,0.9335714394994967,14.854513888888889,1.5795138888888889
SAC,False,Mild,2019-04-06,0.853186096096561,9.568,0.9088666774127198,17.501041666666666,1.35125
SAC,False,Mild,2019-04-07,1.0,13.2,1.0,18.240624999999998,1.2184027777777777
SAC,False,Mild,2019-04-08,0.7573045146934495,155.92000000000002,0.9615469341817604,22.04930555555556,1.1739583333333334
SAC,False,Mild,2019-04-09,0.8401954510638239,137.50000000000006,0.9344239572944986,21.19597222222222,2.4575
SAC,False,Windy,2019-04-10,0.7624133250313884,165.38400000000004,0.9250030758084661,19.030416666666664,5.677916666666667
SAC,False,Mild,2019-04-11,0.7757835174350397,174.00800000000004,0.9006964164620604,19.301597222222224,3.249166666666666
SAC,False,Mild,2019-04-12,0.7258312239539835,47.312,0.8221177611230956,18.680694444444445,4.1028472222222225
SAC,False,Mild,2019-04-13,0.905933415915267,11.232,1.0,18.829791666666665,1.6211805555555554
SAC,False,Mild,2019-04-14,0.26420049095164705,2.496,1.0,18.352083333333333,1.567013888888889
SAC,False,Mild,2019-04-15,0.7606508589993001,172.152,0.8771741592814478,15.64965277777778,1.8228472222222223
SAC,False,Cold,2019-04-16,0.7962406971332453,162.32000000000002,0.8949679383812897,14.566468253968253,2.2201091269841267
SAC,False,Mild,2019-04-17,0.8107208899532392,142.032,0.9561334552434541,16.06423611111111,1.5895833333333336
SAC,False,Mild,2019-04-18,0.8199085140675288,170.64000000000004,0.9142902015250851,19.85763888888889,1.55
SAC,False,Mild,2019-04-19,0.8211862122819318,159.976,0.8710324777891311,19.453333333333333,1.720486111111111
SAC,False,Cold,2019-04-20,0.811536205162588,9.984,0.7909443310919863,14.977738095238095,1.9425
SAC,False,Mild,2019-04-21,0.5344592289321051,6.6,0.5,15.329305555555555,1.8925694444444445
SAC,False,Mild,2019-04-22,0.7952599162529582,177.03200000000004,0.9385862376100378,16.319791666666664,1.7486805555555556
SAC,True,Mild,2019-04-03,0.7110581056918464,130.528,0.9033143742473254,15.498343253968253,1.955094246031746
SAC,True,Cold,2019-04-04,0.7802613052661606,140.25200000000004,0.9007894917942932,14.870486111111113,1.7520138888888888
SAC,True,Cold,2019-04-05,0.8587299539871355,179.488,0.9274100694923781,14.854513888888889,1.5795138888888889
SAC,True,Mild,2019-04-06,0.7580239647704451,13.2,0.8714822167143792,17.501041666666666,1.35125
SAC,True,Mild,2019-04-07,0.240836890888812,5.616,1.0,18.240624999999998,1.2184027777777777
SAC,True,Mild,2019-04-08,0.6796125006772481,155.096,0.8861627811281715,22.04930555555556,1.1739583333333334
SAC,True,Mild,2019-04-09,0.7095399261189164,138.004,0.882738181208557,21.19597222222222,2.4575
SAC,True,Windy,2019-04-10,0.7194855955694076,157.44,0.8497306644402637,19.030416666666664,5.677916666666667
SAC,True,Mild,2019-04-11,0.7056941629964123,175.632,0.8948887224760983,19.301597222222224,3.249166666666666
SAC,True,Mild,2019-04-12,0.7228631023509406,44.78000000000002,0.8099854495798723,18.680694444444445,4.1028472222222225
SAC,True,Mild,2019-04-13,0.5506486522820461,6.6,1.0,18.829791666666665,1.6211805555555554
SAC,True,Mild,2019-04-14,0.8534566421190845,4.784,1.0,18.352083333333333,1.567013888888889
SAC,True,Mild,2019-04-15,0.7111876871283304,167.992,0.8750548998538441,15.64965277777778,1.8228472222222223
SAC,True,Cold,2019-04-16,0.7270777618109189,178.75200000000004,0.9067884964743719,14.566468253968253,2.2201091269841267
SAC,True,Mild,2019-04-17,0.7143423668860054,141.468,0.9073328743036404,16.06423611111111,1.5895833333333336
SAC,True,Mild,2019-04-18,0.7210213224062463,170.336,0.8397300387464759,19.85763888888889,1.55
SAC,True,Mild,2019-04-19,0.7840327854502903,149.99200000000002,0.8857970777573988,19.453333333333333,1.720486111111111
SAC,True,Cold,2019-04-20,0.7730891719745222,13.048,0.9164336062360625,14.977738095238095,1.9425
SAC,True,Mild,2019-04-21,0.8092459911293075,12.632,0.9549419277891259,15.329305555555555,1.8925694444444445
SAC,True,Mild,2019-04-22,0.7444880878780831,169.296,0.9225333018945585,16.319791666666664,1.7486805555555556
