hour,mean_action,num_active
0,0.8400894999504089,34
0,0.8200505375862122,35
0,0.8202288746833801,35
0,0.8222952485084534,35
0,0.8220019936561584,35
0,0.8216195702552795,35
0,0.8449993133544922,34
0,0.8491976857185364,34
0,0.8499754667282104,34
0,0.8493312001228333,34
0,0.8485857844352722,34
0,0.8233175277709961,35
1,0.8497549891471863,34
1,0.8488747477531433,34
1,0.8478396534919739,34
1,0.8474414348602295,34
1,0.8460929989814758,34
1,0.8380962610244751,34
1,0.8348045945167542,34
1,0.8377174139022827,34
1,0.8331248760223389,34
1,0.8366676568984985,34
1,0.829195499420166,34
1,0.821971595287323,34
2,0.7967501282691956,34
2,0.7864909768104553,34
2,0.773702085018158,34
2,0.7686435580253601,34
2,0.7513242363929749,34
2,0.7627869844436646,33
2,0.763373613357544,33
2,0.7527081370353699,33
2,0.7399626970291138,33
2,0.7497843503952026,32
2,0.7311686277389526,32
2,0.7394901514053345,31
3,0.7580451965332031,30
3,0.7521726489067078,30
3,0.7479839324951172,30
3,0.7462457418441772,30
3,0.7396807074546814,30
3,0.7350971102714539,30
3,0.7513480186462402,29
3,0.7387679815292358,29
3,0.7309053540229797,29
3,0.7242662310600281,29
3,0.7443217039108276,28
3,0.798137366771698,26
4,0.800747811794281,26
4,0.798900842666626,26
4,0.7953067421913147,26
4,0.7910559773445129,26
4,0.7802463173866272,26
4,0.7744573354721069,26
4,0.7688319683074951,26
4,0.7624837160110474,26
4,0.7556480169296265,26
4,0.7618717551231384,26
4,0.7549431920051575,26
4,0.7480674386024475,26
5,0.7716410756111145,25
5,0.7978205680847168,24
5,0.7934905886650085,24
5,0.7780139446258545,24
5,0.7722342014312744,24
5,0.7997691035270691,23
5,0.7946071028709412,23
5,0.7891945242881775,23
5,0.7499019503593445,24
5,0.7450261116027832,24
5,0.7771960496902466,23
5,0.7730479836463928,23
6,0.7691319584846497,23
6,0.7652424573898315,23
6,0.7612370848655701,23
6,0.7571837306022644,23
6,0.7869018316268921,22
6,0.7833694219589233,22
6,0.746229350566864,23
6,0.7433528304100037,23
6,0.7403804063796997,23
6,0.7079192996025085,24
6,0.7063602805137634,24
6,0.7366200089454651,23
7,0.7373031377792358,23
7,0.7077342867851257,24
7,0.7087416648864746,24
7,0.7097849249839783,24
7,0.7144687175750732,24
7,0.7160522937774658,24
7,0.7484306693077087,23
7,0.7505759596824646,23
7,0.7525670528411865,23
7,0.7546676993370056,23
7,0.7911466956138611,22
7,0.7951162457466125,22
8,0.7981584668159485,22
8,0.8007984757423401,22
8,0.8409283757209778,21
8,0.8057838082313538,22
8,0.774911105632782,23
8,0.7795435190200806,23
8,0.7839162945747375,23
8,0.786554753780365,23
8,0.7879108190536499,23
8,0.7565019726753235,24
8,0.7631686329841614,24
8,0.7351559400558472,25
9,0.7367241382598877,25
9,0.7359987497329712,25
9,0.7345340251922607,25
9,0.7304661273956299,25
9,0.7303661108016968,25
9,0.7260363698005676,25
9,0.7211387753486633,25
9,0.746194064617157,24
9,0.7134958505630493,25
9,0.7105818390846252,25
9,0.7071290016174316,25
9,0.7004405856132507,25
10,0.6929320693016052,25
10,0.6590826511383057,26
10,0.6508366465568542,26
10,0.6396626234054565,26
10,0.6302061080932617,26
10,0.6464868783950806,25
10,0.6400554180145264,25
10,0.6351630091667175,25
10,0.6849942207336426,23
10,0.6821919679641724,23
10,0.6793825626373291,23
10,0.6517476439476013,24
11,0.6527448296546936,24
11,0.6523253917694092,24
11,0.68145352602005,23
11,0.6826197504997253,23
11,0.68431556224823,23
11,0.7139130234718323,22
11,0.7132822275161743,22
11,0.6823455691337585,23
11,0.6817829012870789,23
11,0.7706125378608704,20
11,0.7320910096168518,21
11,0.729119062423706,21
12,0.7259982228279114,21
12,0.7227623462677002,21
12,0.6880199909210205,22
12,0.7549781799316406,20
12,0.7561952471733093,20
12,0.7573221921920776,20
12,0.7242320775985718,21
12,0.7266949415206909,21
12,0.7297418713569641,21
12,0.7687689065933228,20
12,0.771917462348938,20
12,0.7749069333076477,20
13,0.778270423412323,20
13,0.7810059189796448,20
13,0.7148829698562622,22
13,0.6924929022789001,23
13,0.6829373240470886,24
13,0.6712027788162231,25
13,0.7198812961578369,25
13,0.7092101573944092,26
13,0.7286856770515442,26
13,0.7458718419075012,26
13,0.7596659064292908,26
13,0.7900501489639282,25
14,0.8040874600410461,25
14,0.8163847327232361,25
14,0.8651167750358582,24
14,0.8614726066589355,24
14,0.8635852932929993,24
14,0.8711783289909363,24
14,0.8225555419921875,25
14,0.8048659563064575,25
14,0.8059502243995667,25
14,0.7656818628311157,26
14,0.737785816192627,27
14,0.7405255436897278,27
15,0.7467212677001953,27
15,0.746491014957428,27
15,0.7254091501235962,28
15,0.7228671908378601,28
15,0.7164639234542847,28
15,0.7189968824386597,28
15,0.7709789872169495,26
15,0.7826977372169495,26
15,0.7942885160446167,26
15,0.773163378238678,27
15,0.7796647548675537,27
15,0.7822410464286804,27
16,0.7840399146080017,27
16,0.7860580682754517,27
16,0.7919670939445496,27
16,0.7971308827400208,27
16,0.7990930080413818,27
16,0.7989814281463623,27
16,0.8000922203063965,27
16,0.8055451512336731,27
16,0.8074715733528137,27
16,0.8103174567222595,27
16,0.8118926882743835,27
16,0.8132829070091248,27
17,0.8147587180137634,27
17,0.8164852857589722,27
17,0.8182631134986877,27
