policy,total_energy_requested_kwh,total_energy_delivered_kwh,satisfaction_ratio,peak_demand_kw,jain_fairness,num_sessions
Uncontrolled,706.5444188972493,690.3389693154115,0.975995784481935,146.49600000000007,0.9978064992922304,60.0
FCFS,706.5444188972493,683.4646789928307,0.9675314144342387,114.35840000000003,0.9904699855553615,60.4
EDF,706.5444188972493,686.762200557944,0.9716626472305434,115.72000000000003,0.9978064990039565,60.4
Round-Robin,706.5444188972493,678.009918837514,0.9610991423393968,101.6264,0.9935174142227096,60.4
MPC Oracle,706.5444188972493,690.2572665525493,0.9759271330071371,54.495650255321536,0.9826133576002561,79.6
